"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"ME2",52,81,103,28,14,56,43,66,48,39,31,59,49,42,40,12,13,20,26
"BAP1",33,55,58,27,10,43,34,47,36,58,56,69,61,38,41,16,14,21,37
"MAPK8IP2",30,55,54,33,13,36,30,43,37,30,19,38,42,31,30,8,6,16,22
"GHR",35,51,58,27,13,36,27,45,36,28,23,44,36,28,25,8,7,14,25
"EZH2",41,68,71,36,15,49,32,57,43,33,34,44,48,31,38,12,11,14,26
"CD53",40,60,70,40,24,79,52,50,43,42,32,54,88,48,63,28,31,66,49
"PSMB7",74,126,158,67,22,65,46,115,67,80,84,93,77,48,59,16,18,32,36
"PDPN",66,117,134,47,22,34,28,106,62,32,20,49,42,25,63,15,17,28,35
"EFNA3",21,47,40,25,17,36,29,51,38,26,22,39,37,26,26,10,6,11,23
"PPP2CB",74,104,137,80,22,71,53,88,90,85,87,97,72,51,59,19,13,25,36
"POLE2",26,46,49,24,13,31,25,40,27,22,17,39,36,26,24,5,6,10,18
"ERBB2",46,76,94,73,31,45,35,62,42,57,62,72,44,35,37,12,10,22,33
"SERINC3",83,136,165,97,47,77,59,94,73,53,47,79,96,69,57,17,20,32,52
"WRN",36,73,62,33,15,40,36,49,40,33,26,42,43,31,28,10,11,17,23
"KRT18",407,751,1205,121,54,96,59,1414,1071,871,2074,410,110,159,143,93,153,223,114
"SYCP1",29,55,58,30,18,38,30,50,37,23,22,49,39,37,37,9,7,18,41
"MAPK10",44,53,71,35,14,59,44,65,49,31,24,39,51,34,32,6,9,12,31
"PRKCA",47,89,108,138,40,38,34,86,53,35,28,51,80,54,43,10,10,16,26
"KIR Family",25,40,42,25,16,34,27,40,36,24,15,32,35,23,24,7,8,12,20
"ATF3",42,56,47,44,19,47,34,57,52,24,25,37,36,27,30,24,15,25,20
"CXCL6",27,49,36,20,7,30,21,43,26,19,17,34,35,26,22,10,6,7,17
"FZD2",40,84,66,87,28,45,37,64,47,28,23,45,38,31,36,11,10,16,33
"NKG7",29,44,48,23,15,63,40,41,35,26,19,43,44,32,29,15,15,53,28
"TNFRSF12A",56,93,72,92,22,39,31,85,53,259,266,203,166,116,113,25,22,31,48
"CTSS",60,65,75,34,16,112,100,50,43,56,35,73,95,66,57,33,42,75,48
"ITGB4",43,96,135,104,61,37,26,158,117,58,60,86,155,128,27,8,8,13,21
"MMP3",40,51,47,31,20,31,27,50,38,31,22,43,48,34,32,10,8,16,22
"CASP12",28,46,42,28,14,39,28,49,34,24,18,36,37,26,29,12,7,12,37
"SPP1",855,789,239,236,345,40,28,672,629,49,193,51,340,243,1232,24,32,38,48
"FYN",31,58,57,33,13,61,41,51,46,36,52,47,54,36,49,13,10,24,27
"TCF7L1",39,64,65,50,21,51,43,55,45,36,52,52,36,25,37,12,11,19,33
"PSMD7",55,87,104,62,22,45,34,56,42,58,64,70,65,44,50,19,16,25,31
"FOXL2",23,44,49,24,13,30,26,39,28,27,20,43,36,22,20,8,5,12,14
"ACTA2",72,236,188,62,18,405,238,100,75,103,609,92,136,81,495,174,89,161,111
"DUSP4",25,43,43,34,16,33,28,41,31,22,16,40,73,52,31,8,6,14,25
"IL17A",31,44,50,28,11,29,30,44,32,23,22,44,41,27,27,8,7,11,23
"MAPK8IP1",28,65,56,39,13,43,31,55,34,33,23,47,48,31,33,6,7,11,22
"FGF19",25,46,46,33,13,35,25,41,33,23,21,40,36,29,25,6,6,12,18
"TPI1",35,64,64,70,30,46,36,59,54,36,31,44,44,36,32,9,7,14,28
"TMEM140",27,41,47,26,12,38,34,43,35,28,20,39,43,45,30,11,9,22,26
"DST",60,99,100,53,37,67,53,58,44,84,98,96,89,63,50,12,15,28,41
"TFRC",55,142,83,60,20,38,36,106,77,49,38,61,46,35,35,10,9,17,26
"SLC1A5",54,104,98,67,32,71,47,98,75,50,77,57,82,69,108,23,23,45,56
"CASP3",24,51,49,33,13,36,28,42,32,30,27,44,40,21,34,9,9,18,27
"GTF3C1",65,108,145,146,38,49,34,82,68,58,61,67,53,38,44,14,12,20,31
"FZD9",21,35,35,19,8,27,21,34,24,19,18,33,31,22,23,7,4,8,14
"SMARCA4",82,124,159,99,37,74,45,116,76,82,91,94,70,45,57,19,23,42,48
"APC",37,71,69,37,14,42,36,54,44,32,26,51,56,34,37,13,13,18,29
"CCR6",23,40,40,25,12,32,21,37,25,24,14,35,40,26,25,5,8,11,20
"SERINC1",108,169,180,75,31,82,65,112,95,104,108,108,118,77,60,29,30,47,52
"HLA-DMA",56,57,81,35,16,67,52,45,37,50,34,69,90,74,41,42,52,83,53
"CREB3L4",23,45,51,28,13,32,21,39,34,22,20,36,34,22,22,5,5,8,20
"XCL1/2",27,55,54,43,20,47,40,58,44,26,21,43,40,30,28,11,12,19,24
"MIF",230,379,379,151,52,82,46,205,192,148,182,155,123,123,230,29,26,49,50
"ACVR2A",32,57,65,36,19,32,26,63,49,32,21,42,46,28,30,13,12,20,30
"SHC2",75,105,125,96,57,92,61,92,97,72,66,101,46,33,27,9,8,11,28
"FANCB",34,58,54,33,15,36,28,46,41,29,21,44,42,32,32,10,9,12,29
"HLA-E",129,192,300,153,71,207,152,139,118,136,91,150,202,144,124,101,112,199,105
"CD8A",23,40,43,24,10,53,28,34,35,22,21,40,33,25,20,9,9,40,20
"DSC3",22,46,41,28,15,34,23,56,44,16,14,44,36,28,33,11,12,17,36
"IFNAR1",50,78,80,55,25,61,45,77,57,32,25,41,56,31,39,10,17,23,30
"FGF16",30,53,47,29,16,40,27,45,34,20,14,34,40,29,29,8,7,9,24
"DTX1",25,46,38,25,14,35,29,44,35,22,16,36,40,27,27,7,8,13,24
"CD59",50,77,101,53,23,53,36,74,57,38,38,50,107,62,40,10,18,20,37
"VSIR",31,48,72,30,20,44,32,71,54,56,30,70,62,39,43,21,20,34,31
"IRF4",22,46,46,21,11,29,19,38,32,24,17,42,31,27,27,10,7,12,19
"PTPN5",35,56,57,28,16,37,27,52,38,29,22,50,49,33,34,11,6,12,24
"NKX2-1",33,42,43,23,11,27,27,41,35,25,18,39,40,23,25,8,6,8,26
"KLRG1",29,46,46,24,19,32,26,43,38,27,16,39,44,29,29,9,7,15,24
"SNCA",26,44,51,24,14,24,26,37,38,20,14,40,41,28,28,5,7,10,22
"SPRY2",54,82,143,86,29,49,37,99,55,30,23,50,80,49,40,11,10,18,23
"IFITM1",78,131,186,36,24,64,44,85,106,84,109,103,96,88,135,30,26,55,63
"COX6A1",130,215,284,145,45,173,97,208,184,213,245,198,159,131,125,49,40,84,91
"FPR2",24,42,44,23,12,31,24,35,32,24,16,40,39,23,29,7,6,13,24
"CD83",34,56,44,35,15,37,31,49,37,25,21,37,50,32,34,16,14,22,27
"PBRM1",38,66,74,49,23,41,37,53,41,57,51,68,52,39,39,16,16,21,48
"TNFRSF4",25,45,43,24,14,31,26,43,33,24,16,39,36,22,28,5,6,11,18
"ANXA1",116,175,222,79,25,91,51,225,128,234,172,219,205,118,155,62,58,91,88
"CLEC5A",25,55,47,30,17,29,23,47,39,26,27,41,51,27,34,7,10,15,42
"WIPF1",48,60,77,41,23,69,44,44,48,37,38,47,64,40,47,24,24,47,36
